run_index,spearman r,best_dim,mask_type
1,0.1422437522606519,31.0,negative
2,0.0941480914744999,21.0,negative
3,0.08893598357395553,21.0,negative
4,0.0962617599865927,31.0,negative
5,0.08819585484169205,42.0,negative
6,0.1606751791774676,125.0,negative
7,0.12761031349888044,31.0,negative
8,0.07151612202732999,21.0,negative
9,0.1321888336746482,23.0,negative
10,0.1276109876619215,25.0,negative
11,0.09865116118247376,23.0,negative
12,0.10427877203811642,46.0,negative
13,0.11384011958886853,34.0,negative
14,0.08235714261559628,34.0,negative
15,0.08366603248448932,28.0,negative
16,0.08671482092731783,42.0,negative
17,0.1061680651419479,38.0,negative
18,0.0930514420791293,31.0,negative
19,0.09904130630842811,25.0,negative
20,0.09892498761214594,92.0,negative
average,0.10480403640780767,38.2,negative
