alpha,rho,n_params
1e-06,-0.05131522206724669,0.04
1.2589254117941661e-06,-0.051347521441488006,0.06000000000000001
1.584893192461111e-06,-0.05002967853294634,0.09
1.9952623149688787e-06,-0.05002967853294634,0.09
2.511886431509577e-06,-0.04579412223863637,0.12000000000000002
3.162277660168379e-06,-0.042041221368754524,0.15
3.981071705534969e-06,-0.04182696254286096,0.2
5.011872336272715e-06,-0.04078422385333375,0.25
6.30957344480193e-06,-0.03374534212187287,0.4
7.943282347242805e-06,-0.02693882353046388,0.55
1e-05,-0.018196511554435822,0.75
1.2589254117941661e-05,-0.010442208942755177,0.95
1.5848931924611107e-05,-0.005812680151986395,1.1400000000000001
1.9952623149688786e-05,0.0014682785280933763,1.3800000000000001
2.511886431509577e-05,0.015497352407238199,1.6800000000000002
3.1622776601683795e-05,0.020653476585546667,2.12
3.9810717055349695e-05,0.025433507972915485,2.67
5.011872336272725e-05,0.030840610585144472,3.2399999999999998
6.309573444801929e-05,0.033506236583246904,3.9299999999999997
7.943282347242806e-05,0.04404218941044229,4.76
0.0001,0.051675669107921963,5.96
0.0001258925411794166,0.058724640177080935,7.2700000000000005
0.00015848931924611126,0.06515500441004962,8.879999999999999
0.00019952623149688788,0.07197487674581791,10.72
0.00025118864315095795,0.0790342225667826,13.209999999999999
0.00031622776601683794,0.07890547897621206,16.39
0.0003981071705534969,0.08432215349712466,19.95
0.000501187233627272,0.0872689412393163,24.32
0.000630957344480193,0.08776771006427118,29.9
0.0007943282347242813,0.08914338559851237,36.42
0.001,0.0892924230202418,44.7
0.0012589254117941662,0.08998136888611137,54.529999999999994
0.0015848931924611126,0.09757737837023828,67.16
0.001995262314968879,0.10161811067850748,81.82000000000001
0.0025118864315095794,0.09752400665216893,100.42
0.0031622776601683794,0.09617588455364764,122.02000000000001
0.003981071705534969,0.09676817635501325,148.69
0.005,0.09640051983864284,182.59
0.005011872336272719,0.09638075680677974,182.99
0.00630957344480193,0.09578141395405873,224.18
0.007943282347242814,0.0956642296050959,274.52
0.01,0.0951724165061739,337.19
0.012589254117941668,0.09615530358401728,413.0
0.015848931924611134,0.0943472942320868,504.75
0.01995262314968879,0.09290350735990859,616.8100000000001
0.025118864315095794,0.09034330402312499,754.8
0.03162277660168379,0.0894872796044885,923.4100000000001
0.03981071705534971,0.0884889437793783,1129.16
0.05,0.08592650285502439,1376.73
0.05011872336272722,0.08588261437903913,1379.66
0.0630957344480193,0.08441179929041795,1687.85
0.07943282347242814,0.08292243389403661,2064.92
0.1,0.08096499907656388,2523.3
0.12589254117941673,0.07841123205905587,3079.27
0.15848931924611134,0.07619803521627869,3759.6800000000003
0.19952623149688792,0.07315996882776944,4588.83
0.25118864315095796,0.07159248363209005,5594.62
0.31622776601683794,0.0681289800967246,6825.17
0.3981071705534972,0.06489588902589996,8323.05
0.5011872336272722,0.06326129922068954,10151.560000000001
0.6309573444801932,0.06098829294556266,12374.05
0.7943282347242815,0.059957627188572525,15117.24
1.0,0.05970287956420005,18490.43
