alpha,rho,n_params
1e-06,-0.0596398185168346,0.0
1.2589254117941661e-06,-0.05932041584049878,0.01
1.584893192461111e-06,-0.05932041584049878,0.01
1.9952623149688787e-06,-0.05932041584049878,0.01
2.511886431509577e-06,-0.05932041584049878,0.01
3.162277660168379e-06,-0.05932041584049878,0.01
3.981071705534969e-06,-0.05932041584049878,0.01
5.011872336272715e-06,-0.05932041584049878,0.01
6.30957344480193e-06,-0.05932041584049878,0.01
7.943282347242805e-06,-0.05932041584049878,0.01
1e-05,-0.058140473115825056,0.02
1.2589254117941661e-05,-0.05869469777209624,0.030000000000000006
1.5848931924611107e-05,-0.05828242110118442,0.06000000000000001
1.9952623149688786e-05,-0.05828242110118442,0.06000000000000001
2.511886431509577e-05,-0.05491312597063673,0.1
3.1622776601683795e-05,-0.05317353812708468,0.14
3.9810717055349695e-05,-0.05686039625502056,0.21000000000000002
5.011872336272725e-05,-0.050899079898702626,0.27999999999999997
6.309573444801929e-05,-0.04870088593496097,0.34
7.943282347242806e-05,-0.04626480966574077,0.38
0.0001,-0.038008399801228145,0.5
0.0001258925411794166,-0.03644620366743416,0.64
0.00015848931924611126,-0.0367448768450738,0.95
0.00019952623149688788,-0.03037896588705104,1.3
0.00025118864315095795,-0.02510709991900008,1.53
0.00031622776601683794,-0.018531643338472396,2.07
0.0003981071705534969,-0.01649366482237712,2.75
0.000501187233627272,-0.012614362409466829,3.71
0.000630957344480193,-0.004935712177678812,5.08
0.0007943282347242813,0.0017640426727483084,6.709999999999999
0.001,0.0006424095180268684,8.74
0.0012589254117941662,0.0067435829793328576,11.53
0.0015848931924611126,0.014098763887638454,14.77
0.001995262314968879,0.013887838521446857,19.35
0.0025118864315095794,0.018362699729897715,24.36
0.0031622776601683794,0.021905243763609368,31.04
0.003981071705534969,0.02635389711118369,40.160000000000004
0.005,0.03067878125776443,51.36
0.005011872336272719,0.030611561576228085,51.510000000000005
0.00630957344480193,0.03645193596096101,65.61
0.007943282347242814,0.03947537580290665,84.47
0.01,0.04355132596160667,108.08
0.012589254117941668,0.0447269430548307,138.28
0.015848931924611134,0.04458333972962254,177.49
0.01995262314968879,0.045093921911887595,227.4
0.025118864315095794,0.043048184613239435,293.15
0.03162277660168379,0.03995511568795411,378.49
0.03981071705534971,0.03806497009948382,484.21000000000004
0.05,0.034564575247356774,621.51
0.05011872336272722,0.034637805987423234,623.0400000000001
0.0630957344480193,0.03218514103323657,803.48
0.07943282347242814,0.03021889654646544,1037.0
0.1,0.027420014022712158,1336.8700000000001
0.12589254117941673,0.025868968997979618,1725.81
0.15848931924611134,0.02354846404808713,2225.1400000000003
0.19952623149688792,0.020273235552862603,2869.21
0.25118864315095796,0.016850277483536822,3714.5
0.31622776601683794,0.013445129260098648,4798.49
0.3981071705534972,0.010112242153600907,6191.9
0.5011872336272722,0.007293299504569878,7991.0
0.6309573444801932,0.005931193502065122,10307.539999999999
0.7943282347242815,0.004934292979196493,13271.27
1.0,0.0037681069132107685,17066.4
