alpha,rho,n_params
1e-06,-0.019478082687329375,0.47000000000000003
1.2589254117941661e-06,-0.01717242311416987,0.58
1.584893192461111e-06,-0.010790201017032128,0.8099999999999999
1.9952623149688787e-06,-0.0032688459112501637,0.99
2.511886431509577e-06,0.0010140115077761755,1.16
3.162277660168379e-06,0.009878638117997888,1.3800000000000001
3.981071705534969e-06,0.015206504642576288,1.78
5.011872336272715e-06,0.022075475769781836,2.04
6.30957344480193e-06,0.03211011183209819,2.69
7.943282347242805e-06,0.039801850826434726,3.2399999999999998
1e-05,0.04522153563970011,3.87
1.2589254117941661e-05,0.04804956955662123,4.569999999999999
1.5848931924611107e-05,0.05558832919888136,5.43
1.9952623149688786e-05,0.06265952312534918,6.55
2.511886431509577e-05,0.06726890293106423,7.75
3.1622776601683795e-05,0.08009886404612797,9.4
3.9810717055349695e-05,0.08368071040871301,11.24
5.011872336272725e-05,0.0871104630392269,13.26
6.309573444801929e-05,0.09408584948797022,15.690000000000001
7.943282347242806e-05,0.10264238329515327,18.7
0.0001,0.10947204312588388,21.81
0.0001258925411794166,0.11573484644681087,25.75
0.00015848931924611126,0.12187345661466623,30.26
0.00019952623149688788,0.12464997757173746,35.510000000000005
0.00025118864315095795,0.12895267858487167,41.29
0.00031622776601683794,0.13250415669925694,48.19
0.0003981071705534969,0.13580758814618962,56.25
0.000501187233627272,0.13800918541902607,65.17
0.000630957344480193,0.1402179239382273,75.67
0.0007943282347242813,0.14327784351027356,87.97
0.001,0.1447297154561922,102.28999999999999
0.0012589254117941662,0.14599125955212258,119.33
0.0015848931924611126,0.14713312157560596,139.18
0.001995262314968879,0.14806081060233925,162.27
0.0025118864315095794,0.14851216485055038,189.2
0.0031622776601683794,0.1490773738453637,219.82
0.003981071705534969,0.14886459636610855,257.48
0.005,0.14843662953120135,300.09000000000003
0.005011872336272719,0.14841794940321398,300.6
0.00630957344480193,0.147827994672804,352.86
0.007943282347242814,0.14676689947386817,414.39
0.01,0.14581977502407156,486.41999999999996
0.012589254117941668,0.14464325497605796,574.0
0.015848931924611134,0.1435768162213768,678.89
0.01995262314968879,0.14272843085292203,803.5400000000001
0.025118864315095794,0.14225637050055015,953.3100000000001
0.03162277660168379,0.1419092502274054,1132.7
0.03981071705534971,0.14188620779960243,1348.34
0.05,0.14176389463153527,1601.3899999999999
0.05011872336272722,0.141726509268799,1604.3200000000002
0.0630957344480193,0.14134947428929287,1914.9599999999998
0.07943282347242814,0.1413711346828617,2285.1
0.1,0.14074516035104861,2726.79
0.12589254117941673,0.14098300972133032,3260.68
0.15848931924611134,0.14029222437686117,3904.37
0.19952623149688792,0.13993703925398537,4680.280000000001
0.25118864315095796,0.1393577163072027,5616.21
0.31622776601683794,0.13856647253316706,6757.839999999999
0.3981071705534972,0.13766909829368953,8152.0
0.5011872336272722,0.1366543883016179,9858.25
0.6309573444801932,0.13598770033387594,11962.73
0.7943282347242815,0.1350903965328127,14552.7
1.0,0.13345885897410495,17780.94
