alpha,rho,n_params
1e-06,-0.05389916425002765,0.05
1.2589254117941661e-06,-0.05514428000511072,0.07
1.584893192461111e-06,-0.05220991971189428,0.1
1.9952623149688787e-06,-0.050078342707494596,0.11000000000000001
2.511886431509577e-06,-0.04930941003123712,0.13
3.162277660168379e-06,-0.04787108350346182,0.16
3.981071705534969e-06,-0.0463363143173346,0.2
5.011872336272715e-06,-0.04553532097882458,0.22000000000000003
6.30957344480193e-06,-0.04040201233048525,0.27
7.943282347242805e-06,-0.03929795547036207,0.31
1e-05,-0.03325590841593503,0.4
1.2589254117941661e-05,-0.02618785568412958,0.51
1.5848931924611107e-05,-0.01871932139838585,0.62
1.9952623149688786e-05,-0.01760458028055512,0.71
2.511886431509577e-05,-0.007889269804803863,0.89
3.1622776601683795e-05,0.0009378226281072249,1.05
3.9810717055349695e-05,0.006871338100642425,1.23
5.011872336272725e-05,0.017633782626248953,1.56
6.309573444801929e-05,0.02305797560496617,1.98
7.943282347242806e-05,0.02865172049163516,2.31
0.0001,0.03743511433488147,2.7199999999999998
0.0001258925411794166,0.04860275426119385,3.3899999999999997
0.00015848931924611126,0.05762587536393882,4.0200000000000005
0.00019952623149688788,0.07055669139919202,4.95
0.00025118864315095795,0.0740866051337897,5.7700000000000005
0.00031622776601683794,0.08019514342850469,6.94
0.0003981071705534969,0.08543778251945648,8.61
0.000501187233627272,0.09417081378917933,10.59
0.000630957344480193,0.09803217500914028,12.309999999999999
0.0007943282347242813,0.0994513415961122,15.23
0.001,0.10448794987905133,18.52
0.0012589254117941662,0.10683490097346882,22.71
0.0015848931924611126,0.11088497065863737,28.27
0.001995262314968879,0.11364721056109088,35.15
0.0025118864315095794,0.1156944260945005,43.87
0.0031622776601683794,0.1182291864856897,54.31
0.003981071705534969,0.12011860589668451,67.5
0.005,0.12009430573740314,84.1
0.005011872336272719,0.12008099862186716,84.27000000000001
0.00630957344480193,0.12359172071512706,105.05
0.007943282347242814,0.1246729130277654,130.07
0.01,0.12851694565067318,161.34
0.012589254117941668,0.13007864077829798,204.04000000000002
0.015848931924611134,0.13190848775466096,256.06
0.01995262314968879,0.1315085822319764,321.91999999999996
0.025118864315095794,0.1301125792149708,404.26
0.03162277660168379,0.1288455467315148,507.56000000000006
0.03981071705534971,0.12645361099557043,641.95
0.05,0.12375604098048412,808.33
0.05011872336272722,0.12371588269409306,810.0
0.0630957344480193,0.12184585073051062,1025.63
0.07943282347242814,0.12106204574927311,1297.27
0.1,0.12096443762383029,1639.8700000000001
0.12589254117941673,0.12041595834862487,2080.0099999999998
0.15848931924611134,0.11995751041785807,2637.0
0.19952623149688792,0.12011534021699333,3340.7300000000005
0.25118864315095796,0.11846817597835821,4237.41
0.31622776601683794,0.11709463365005368,5363.25
0.3981071705534972,0.1149127538118592,6802.44
0.5011872336272722,0.11467481479232053,8628.51
0.6309573444801932,0.11414118045603545,10919.310000000001
0.7943282347242815,0.11302860095884601,13819.01
1.0,0.1114658979350879,17486.420000000002
