alpha,rho,n_params
1e-06,-0.03035418784815267,0.0
1.2589254117941661e-06,-0.03035418784815267,0.0
1.584893192461111e-06,-0.03035418784815267,0.0
1.9952623149688787e-06,-0.03035418784815267,0.0
2.511886431509577e-06,-0.03035418784815267,0.0
3.162277660168379e-06,-0.03035418784815267,0.0
3.981071705534969e-06,-0.03035418784815267,0.0
5.011872336272715e-06,-0.03035418784815267,0.0
6.30957344480193e-06,-0.03035418784815267,0.0
7.943282347242805e-06,-0.03035418784815267,0.0
1e-05,-0.03035418784815267,0.0
1.2589254117941661e-05,-0.03035418784815267,0.0
1.5848931924611107e-05,-0.03039374532846051,0.01
1.9952623149688786e-05,-0.028314010656190613,0.02
2.511886431509577e-05,-0.0278058510422154,0.030000000000000006
3.1622776601683795e-05,-0.027224190166376387,0.04
3.9810717055349695e-05,-0.022008616540100435,0.1
5.011872336272725e-05,-0.01910098336385754,0.16
6.309573444801929e-05,-0.019533629385527336,0.2
7.943282347242806e-05,-0.012783932646911213,0.29
0.0001,-0.012728782522277013,0.39
0.0001258925411794166,-0.004107368774985747,0.53
0.00015848931924611126,0.0015588249980119258,0.72
0.00019952623149688788,0.009640177066691246,0.93
0.00025118864315095795,0.013577696018805341,1.35
0.00031622776601683794,0.021129592717094525,1.95
0.0003981071705534969,0.029480235724722283,2.7
0.000501187233627272,0.03384883765245044,3.94
0.000630957344480193,0.04003776422397299,5.1899999999999995
0.0007943282347242813,0.04756138229504799,7.090000000000001
0.001,0.05471863209821974,9.39
0.0012589254117941662,0.06587300800734494,12.56
0.0015848931924611126,0.07086050013979758,16.919999999999998
0.001995262314968879,0.07951424676803531,23.0
0.0025118864315095794,0.08091444629811548,30.65
0.0031622776601683794,0.08566130954826717,41.269999999999996
0.003981071705534969,0.08528109527313012,55.489999999999995
0.005,0.09070012493268922,75.21000000000001
0.005011872336272719,0.09085947850491524,75.5
0.00630957344480193,0.09143959196119354,101.71000000000001
0.007943282347242814,0.09368713965914324,137.8
0.01,0.09411098247156226,188.35
0.012589254117941668,0.0939104996746066,255.15
0.015848931924611134,0.08966349156921302,343.36
0.01995262314968879,0.0869337083362765,460.81000000000006
0.025118864315095794,0.08645012938056865,614.8599999999999
0.03162277660168379,0.08210443640899481,808.37
0.03981071705534971,0.08172384722916766,1063.3899999999999
0.05,0.07781755045010787,1385.25
0.05011872336272722,0.07766139870669825,1388.99
0.0630957344480193,0.073656557595137,1802.1
0.07943282347242814,0.06768850960438401,2322.96
0.1,0.0639627402123201,2961.29
0.12589254117941673,0.059326223397997924,3749.6699999999996
0.15848931924611134,0.054953647415958165,4694.62
0.19952623149688792,0.049038395886290956,5808.15
0.25118864315095796,0.044213219858468294,7090.81
0.31622776601683794,0.040465791499820866,8534.09
0.3981071705534972,0.03565253184854171,10108.92
0.5011872336272722,0.030852230340513702,11794.72
0.6309573444801932,0.02648540353720813,13558.34
0.7943282347242815,0.023303490641875188,15400.14
1.0,0.020231309682605243,17435.64
