alpha,rho,n_params
1e-06,0.10642729612909714,2.34
1.2589254117941661e-06,0.11046964161763773,2.6399999999999997
1.584893192461111e-06,0.1168071484351237,3.0100000000000002
1.9952623149688787e-06,0.11837582291591449,3.44
2.511886431509577e-06,0.120943402591945,3.6700000000000004
3.162277660168379e-06,0.12747185581607742,4.029999999999999
3.981071705534969e-06,0.13265845952743516,4.37
5.011872336272715e-06,0.13769585449117647,4.96
6.30957344480193e-06,0.14649613508486956,5.39
7.943282347242805e-06,0.1511253393208565,5.93
1e-05,0.15836840808209907,6.5200000000000005
1.2589254117941661e-05,0.16014979130375756,7.090000000000001
1.5848931924611107e-05,0.16250587357385196,7.94
1.9952623149688786e-05,0.16521894596742998,8.89
2.511886431509577e-05,0.1633122841504701,9.92
3.1622776601683795e-05,0.16322225771946913,11.17
3.9810717055349695e-05,0.16578560363836467,12.489999999999998
5.011872336272725e-05,0.16654928233372254,14.0
6.309573444801929e-05,0.16744148249817986,15.84
7.943282347242806e-05,0.1669547446517072,18.06
0.0001,0.16722735902687816,20.55
0.0001258925411794166,0.16810969462786698,23.479999999999997
0.00015848931924611126,0.1676408825100325,27.0
0.00019952623149688788,0.16744052435936913,30.8
0.00025118864315095795,0.16883259790207428,34.910000000000004
0.00031622776601683794,0.16931959776258249,39.53
0.0003981071705534969,0.16895195219785103,45.22
0.000501187233627272,0.16739608898832076,51.19
0.000630957344480193,0.16678117006572463,59.15
0.0007943282347242813,0.16758459882091697,68.21000000000001
0.001,0.1655825542907065,79.21000000000001
0.0012589254117941662,0.16641312111916493,92.35
0.0015848931924611126,0.16517930855855284,107.91
0.001995262314968879,0.1654802421749037,126.21
0.0025118864315095794,0.1641190139281307,148.15
0.0031622776601683794,0.1635875174867976,174.0
0.003981071705534969,0.16380736631055767,205.21999999999997
0.005,0.16398338959380948,243.59
0.005011872336272719,0.16403865992288602,244.08
0.00630957344480193,0.16511503247737772,290.71
0.007943282347242814,0.16553512483767063,346.41999999999996
0.01,0.1660223289233266,417.62
0.012589254117941668,0.16798861109675287,501.73
0.015848931924611134,0.16878272298388575,604.26
0.01995262314968879,0.16894820324964727,732.53
0.025118864315095794,0.16987746342805765,890.54
0.03162277660168379,0.16980809561373028,1089.94
0.03981071705534971,0.1693847470713635,1339.83
0.05,0.1698594801772982,1646.5400000000002
0.05011872336272722,0.1698632409482352,1650.23
0.0630957344480193,0.17010456318757367,2044.61
0.07943282347242814,0.17020093038410028,2535.95
0.1,0.16992949098069182,3165.73
0.12589254117941673,0.169426350256993,3962.3900000000003
0.15848931924611134,0.1682567366485444,4986.219999999999
0.19952623149688792,0.1671682879918292,6296.26
0.25118864315095796,0.16557698709120822,7998.3
0.31622776601683794,0.16389195265845735,10215.369999999999
0.3981071705534972,0.16228781632159248,13092.960000000001
0.5011872336272722,0.16100282247384737,16822.86
0.6309573444801932,0.1594617036313254,21622.579999999998
0.7943282347242815,0.15807009496920799,27830.47
1.0,0.15711722826146837,35778.0
