alpha,rho,n_params
1e-06,0.018411441158220045,0.36
1.2589254117941661e-06,0.031105768552844876,0.45
1.584893192461111e-06,0.03720806999932384,0.51
1.9952623149688787e-06,0.04992499410803665,0.61
2.511886431509577e-06,0.05173169180015371,0.65
3.162277660168379e-06,0.05681113794605487,0.76
3.981071705534969e-06,0.059084284748267345,0.8300000000000001
5.011872336272715e-06,0.07002796375352817,1.01
6.30957344480193e-06,0.09010657272977571,1.21
7.943282347242805e-06,0.09428722874545367,1.41
1e-05,0.10489418617714392,1.69
1.2589254117941661e-05,0.1104171561688633,1.9
1.5848931924611107e-05,0.11814761410856807,2.17
1.9952623149688786e-05,0.11975173231330705,2.5100000000000002
2.511886431509577e-05,0.11853003000748567,2.8600000000000003
3.1622776601683795e-05,0.12276317998066606,3.3299999999999996
3.9810717055349695e-05,0.12455985326583674,3.78
5.011872336272725e-05,0.12677891000016941,4.36
6.309573444801929e-05,0.12763727888083495,4.99
7.943282347242806e-05,0.13264392504298694,5.7299999999999995
0.0001,0.13072171059496845,6.6
0.0001258925411794166,0.1273337311154946,7.640000000000001
0.00015848931924611126,0.12557908785750116,9.0
0.00019952623149688788,0.12707338518097483,10.49
0.00025118864315095795,0.1288818544281043,12.209999999999999
0.00031622776601683794,0.12954118860020572,13.959999999999999
0.0003981071705534969,0.12851964760566925,16.130000000000003
0.000501187233627272,0.12864405701521922,18.75
0.000630957344480193,0.1300543105149001,22.03
0.0007943282347242813,0.130182203398649,25.860000000000003
0.001,0.1312590501873852,30.65
0.0012589254117941662,0.1341012898182449,36.410000000000004
0.0015848931924611126,0.13559088814603915,43.43
0.001995262314968879,0.1387425441033496,51.629999999999995
0.0025118864315095794,0.13876504761179437,61.75
0.0031622776601683794,0.14045390249037742,73.6
0.003981071705534969,0.1423984380492412,88.19
0.005,0.14415314276027502,106.17999999999999
0.005011872336272719,0.14426453775899512,106.41
0.00630957344480193,0.14815179653768412,128.89000000000001
0.007943282347242814,0.14960532153818398,154.57999999999998
0.01,0.15240361337577443,188.45
0.012589254117941668,0.15511028778079458,228.5
0.015848931924611134,0.1582105461995788,277.18
0.01995262314968879,0.15881878624319465,339.42
0.025118864315095794,0.16137284018366954,417.01000000000005
0.03162277660168379,0.16191098421955682,513.6899999999999
0.03981071705534971,0.1617753841048685,634.4100000000001
0.05,0.1626872825420698,784.63
0.05011872336272722,0.16270146897849067,786.54
0.0630957344480193,0.16303326337846336,981.1299999999999
0.07943282347242814,0.16374258491712562,1223.1399999999999
0.1,0.16347937535431092,1535.0
0.12589254117941673,0.16369200236112597,1935.77
0.15848931924611134,0.16299163813442313,2448.2
0.19952623149688792,0.16204367977610085,3110.29
0.25118864315095796,0.16096186790088074,3973.6400000000003
0.31622776601683794,0.1598384345308887,5097.14
0.3981071705534972,0.15877405056983637,6558.2699999999995
0.5011872336272722,0.1570851496904847,8436.86
0.6309573444801932,0.155005513272715,10859.97
0.7943282347242815,0.15191733989536918,13985.14
1.0,0.14843063710392762,17961.71
