alpha,rho,n_params
1e-06,-0.04217092589036754,0.0
1.2589254117941661e-06,-0.04217092589036754,0.0
1.584893192461111e-06,-0.04217092589036754,0.0
1.9952623149688787e-06,-0.042583411954258285,0.01
2.511886431509577e-06,-0.042583411954258285,0.01
3.162277660168379e-06,-0.04201121991863617,0.04
3.981071705534969e-06,-0.039158639529942765,0.06000000000000001
5.011872336272715e-06,-0.0372363910003462,0.09
6.30957344480193e-06,-0.03376836630564147,0.13
7.943282347242805e-06,-0.029426383562622366,0.15
1e-05,-0.028011911910898184,0.17
1.2589254117941661e-05,-0.025086206082046765,0.2
1.5848931924611107e-05,-0.012167289944600802,0.29000000000000004
1.9952623149688786e-05,0.000655761212288479,0.37
2.511886431509577e-05,0.0131240941508854,0.51
3.1622776601683795e-05,0.01571680818294442,0.54
3.9810717055349695e-05,0.020759972680851235,0.6799999999999999
5.011872336272725e-05,0.025152785385476863,0.8800000000000001
6.309573444801929e-05,0.03333913804486752,1.03
7.943282347242806e-05,0.04362405857654348,1.27
0.0001,0.05445553338590191,1.65
0.0001258925411794166,0.0626866001231515,2.1
0.00015848931924611126,0.0640915593663981,2.48
0.00019952623149688788,0.0666414398916642,2.94
0.00025118864315095795,0.0749880238766967,3.63
0.00031622776601683794,0.08030025152918636,4.3
0.0003981071705534969,0.08203680071021058,5.13
0.000501187233627272,0.08083594698620006,6.36
0.000630957344480193,0.07644829130727689,7.6
0.0007943282347242813,0.07383266644629954,9.58
0.001,0.07056101093136422,12.15
0.0012589254117941662,0.06661884568041956,15.24
0.0015848931924611126,0.06502140717964425,19.69
0.001995262314968879,0.06080397885986264,24.79
0.0025118864315095794,0.05708040452196692,31.54
0.0031622776601683794,0.05434579203236265,39.87
0.003981071705534969,0.054753957473357914,51.279999999999994
0.005,0.056198576281352386,65.97999999999999
0.005011872336272719,0.056025939425586556,66.16
0.00630957344480193,0.062259982218819676,84.63
0.007943282347242814,0.06365369482078051,109.44000000000001
0.01,0.06436979349442268,140.6
0.012589254117941668,0.06536781662448035,181.01
0.015848931924611134,0.06581436035654822,232.92
0.01995262314968879,0.06764709544431893,299.47
0.025118864315095794,0.06856275132867021,387.96
0.03162277660168379,0.06926451614623337,502.5
0.03981071705534971,0.07016584195028229,654.1
0.05,0.07077394285556739,853.11
0.05011872336272722,0.07074774744371592,855.61
0.0630957344480193,0.07030232200819665,1120.16
0.07943282347242814,0.06948128087160178,1478.55
0.1,0.0692440345256938,1955.9299999999998
0.12589254117941673,0.06939391466391075,2599.04
0.15848931924611134,0.06833474308567314,3468.47
0.19952623149688792,0.06802118318615308,4640.41
0.25118864315095796,0.06742036887675897,6218.4800000000005
0.31622776601683794,0.06661485071353748,8362.289999999999
0.3981071705534972,0.06685148325008634,11250.460000000001
0.5011872336272722,0.06741845209904547,15123.220000000001
0.6309573444801932,0.06815366509915789,20279.420000000002
0.7943282347242815,0.06957076166760248,27044.05
1.0,0.06989781224742275,35778.0
