alpha,rho,n_params
1e-06,-0.051897892702892814,0.05
1.2589254117941661e-06,-0.051897892702892814,0.05
1.584893192461111e-06,-0.051897892702892814,0.05
1.9952623149688787e-06,-0.051897892702892814,0.05
2.511886431509577e-06,-0.051897892702892814,0.05
3.162277660168379e-06,-0.04792216239281151,0.09
3.981071705534969e-06,-0.04859112226212266,0.1
5.011872336272715e-06,-0.0457176876681057,0.12000000000000002
6.30957344480193e-06,-0.043059232211250395,0.13
7.943282347242805e-06,-0.03965658431386,0.17
1e-05,-0.034735144944994904,0.22999999999999998
1.2589254117941661e-05,-0.032816345515586556,0.27
1.5848931924611107e-05,-0.027206900106310862,0.35
1.9952623149688786e-05,-0.02177298360481151,0.45
2.511886431509577e-05,-0.013991692284145842,0.55
3.1622776601683795e-05,-0.011718345919849755,0.71
3.9810717055349695e-05,-0.006058224421678606,0.85
5.011872336272725e-05,0.003304900091246711,1.09
6.309573444801929e-05,0.010674745090261156,1.28
7.943282347242806e-05,0.016871160552588756,1.61
0.0001,0.022406128444383604,2.06
0.0001258925411794166,0.027153186155468134,2.68
0.00015848931924611126,0.03686467671828821,3.63
0.00019952623149688788,0.04537638641148158,4.470000000000001
0.00025118864315095795,0.05756092596395566,5.6899999999999995
0.00031622776601683794,0.05943990299726565,7.409999999999999
0.0003981071705534969,0.059665401281006634,9.290000000000001
0.000501187233627272,0.06188087931263579,11.92
0.000630957344480193,0.07350513939001929,15.3
0.0007943282347242813,0.07810038076606923,19.72
0.001,0.08035728121406249,25.35
0.0012589254117941662,0.08212483675004115,32.37
0.0015848931924611126,0.0883093597685664,41.05
0.001995262314968879,0.09169110036202044,52.4
0.0025118864315095794,0.09108482914057231,67.24
0.0031622776601683794,0.09425758438707524,86.95
0.003981071705534969,0.09582197587014826,111.17
0.005,0.08974167667438956,143.03
0.005011872336272719,0.08958614801641168,143.32999999999998
0.00630957344480193,0.08692848208125484,185.60999999999999
0.007943282347242814,0.08256765014697257,239.16
0.01,0.07892226857075715,307.81
0.012589254117941668,0.07478299068146768,395.21999999999997
0.015848931924611134,0.07110698111162828,506.43999999999994
0.01995262314968879,0.06785072061437711,647.04
0.025118864315095794,0.06358528933294601,821.3100000000001
0.03162277660168379,0.05919637086535036,1040.81
0.03981071705534971,0.05500110069923392,1308.76
0.05,0.05077367727293693,1635.48
0.05011872336272722,0.050743979295467,1639.0900000000001
0.0630957344480193,0.04565322232572407,2042.2100000000003
0.07943282347242814,0.04121693995254575,2529.84
0.1,0.03625293283160964,3117.37
0.12589254117941673,0.03172008340712805,3822.1400000000003
0.15848931924611134,0.02793814681804972,4655.83
0.19952623149688792,0.023499168108272607,5626.89
0.25118864315095796,0.019832925134824795,6748.49
0.31622776601683794,0.016332684305209205,8035.55
0.3981071705534972,0.013342203238257206,9477.039999999999
0.5011872336272722,0.010361816599806716,11082.09
0.6309573444801932,0.007190785792343488,12868.28
0.7943282347242815,0.005867371714072319,14866.26
1.0,0.00287900920774026,17199.86
