alpha,rho,n_params
1e-06,-0.060006073756259784,0.02
1.2589254117941661e-06,-0.060006073756259784,0.02
1.584893192461111e-06,-0.05847408656519591,0.030000000000000006
1.9952623149688787e-06,-0.05847408656519591,0.030000000000000006
2.511886431509577e-06,-0.05847408656519591,0.030000000000000006
3.162277660168379e-06,-0.05847408656519591,0.030000000000000006
3.981071705534969e-06,-0.05493396545086339,0.05
5.011872336272715e-06,-0.05493396545086339,0.05
6.30957344480193e-06,-0.0538245768422537,0.08
7.943282347242805e-06,-0.05091161368536876,0.11000000000000001
1e-05,-0.044761900187347506,0.18
1.2589254117941661e-05,-0.043714360226802626,0.21000000000000002
1.5848931924611107e-05,-0.041764003420479666,0.27999999999999997
1.9952623149688786e-05,-0.03837997809454906,0.32999999999999996
2.511886431509577e-05,-0.03468834904338271,0.49000000000000005
3.1622776601683795e-05,-0.030112964853684376,0.6
3.9810717055349695e-05,-0.020345311016205854,0.8099999999999999
5.011872336272725e-05,-0.011049265075151015,1.1
6.309573444801929e-05,-0.005445298493102972,1.48
7.943282347242806e-05,0.00631642642401434,2.06
0.0001,0.015274335115382471,2.8
0.0001258925411794166,0.020566689343166057,3.65
0.00015848931924611126,0.029413053553619138,4.83
0.00019952623149688788,0.03513113477030631,6.2
0.00025118864315095795,0.042587987766009625,8.61
0.00031622776601683794,0.05188781372713673,11.129999999999999
0.0003981071705534969,0.06280088357752149,14.86
0.000501187233627272,0.07196000779637848,19.09
0.000630957344480193,0.08091924644571045,25.02
0.0007943282347242813,0.08862857223366008,33.1
0.001,0.09699623716271434,43.0
0.0012589254117941662,0.10235511931754282,54.910000000000004
0.0015848931924611126,0.11164603291497557,70.77000000000001
0.001995262314968879,0.11377590163612501,90.58
0.0025118864315095794,0.11890859021282847,115.96
0.0031622776601683794,0.12174660445529764,146.82999999999998
0.003981071705534969,0.12361575225912542,185.85
0.005,0.12115177665965356,234.28000000000003
0.005011872336272719,0.12123978690461981,234.83
0.00630957344480193,0.11825539440458392,295.15999999999997
0.007943282347242814,0.11573181674795094,368.7
0.01,0.11250430191563159,462.48999999999995
0.012589254117941668,0.10708157530948206,577.75
0.015848931924611134,0.1025995785912204,719.58
0.01995262314968879,0.09780795325328703,896.55
0.025118864315095794,0.0934920814675899,1114.4
0.03162277660168379,0.08941329828610751,1377.58
0.03981071705534971,0.083324120024361,1703.4099999999999
0.05,0.07850022195373055,2093.7200000000003
0.05011872336272722,0.07846208031398011,2098.17
0.0630957344480193,0.07256636654973107,2572.2799999999997
0.07943282347242814,0.06721413190576714,3136.98
0.1,0.06083771334644319,3807.4900000000002
0.12589254117941673,0.055193943277812185,4600.55
0.15848931924611134,0.0502588576404153,5518.5599999999995
0.19952623149688792,0.045992796907444775,6577.45
0.25118864315095796,0.04170365828755781,7781.95
0.31622776601683794,0.0373607179688671,9142.32
0.3981071705534972,0.033652574724427495,10654.939999999999
0.5011872336272722,0.030298614222706265,12333.48
0.6309573444801932,0.028033479976827275,14172.73
0.7943282347242815,0.02681060732495552,16221.52
1.0,0.026232745498285127,18578.14
