alpha,rho,n_params
1e-06,-0.03924297809092282,0.0
1.2589254117941661e-06,-0.03924297809092282,0.0
1.584893192461111e-06,-0.03924297809092282,0.0
1.9952623149688787e-06,-0.03924297809092282,0.0
2.511886431509577e-06,-0.03924297809092282,0.0
3.162277660168379e-06,-0.03924297809092282,0.0
3.981071705534969e-06,-0.03924297809092282,0.0
5.011872336272715e-06,-0.03924297809092282,0.0
6.30957344480193e-06,-0.03924297809092282,0.0
7.943282347242805e-06,-0.03924297809092282,0.0
1e-05,-0.03924297809092282,0.0
1.2589254117941661e-05,-0.03924297809092282,0.0
1.5848931924611107e-05,-0.03924297809092282,0.0
1.9952623149688786e-05,-0.03924297809092282,0.0
2.511886431509577e-05,-0.03924297809092282,0.0
3.1622776601683795e-05,-0.03924297809092282,0.0
3.9810717055349695e-05,-0.03924297809092282,0.0
5.011872336272725e-05,-0.03924297809092282,0.0
6.309573444801929e-05,-0.03924297809092282,0.0
7.943282347242806e-05,-0.03688224271872351,0.01
0.0001,-0.03688224271872351,0.01
0.0001258925411794166,-0.036363866857354266,0.02
0.00015848931924611126,-0.036363866857354266,0.02
0.00019952623149688788,-0.036363866857354266,0.02
0.00025118864315095795,-0.036911808191090176,0.030000000000000006
0.00031622776601683794,-0.03636285799502501,0.039999999999999994
0.0003981071705534969,-0.03432149964678769,0.05
0.000501187233627272,-0.032375671224990556,0.06999999999999999
0.000630957344480193,-0.032375671224990556,0.06999999999999999
0.0007943282347242813,-0.032162570351934136,0.11000000000000001
0.001,-0.03128208391653894,0.15
0.0012589254117941662,-0.031121438174919174,0.22999999999999998
0.0015848931924611126,-0.028382945809558142,0.32
0.001995262314968879,-0.027620883293679947,0.38
0.0025118864315095794,-0.021584133160259072,0.55
0.0031622776601683794,-0.021322006196320513,0.6900000000000001
0.003981071705534969,-0.016220157841037926,0.9199999999999999
0.005,-0.013878117135271189,1.28
0.005011872336272719,-0.013989722306815045,1.29
0.00630957344480193,-0.01039539402575992,1.7399999999999998
0.007943282347242814,-0.0013417069932980961,2.3
0.01,0.008151952597709552,3.46
0.012589254117941668,0.015619759368211023,4.92
0.015848931924611134,0.020389244652715875,7.2299999999999995
0.01995262314968879,0.030361278115720335,11.07
0.025118864315095794,0.03624371349997128,16.68
0.03162277660168379,0.048408596625731104,25.82
0.03981071705534971,0.049990046298250664,39.12
0.05,0.05529895742842744,59.89
0.05011872336272722,0.054806219704852034,60.14
0.0630957344480193,0.052354586925971294,93.82000000000001
0.07943282347242814,0.052255382135411754,143.78
0.1,0.04225151114865596,229.2
0.12589254117941673,0.038244926178408536,365.24
0.15848931924611134,0.03410055162444215,585.88
0.19952623149688792,0.030977763792904962,937.46
0.25118864315095796,0.025082617192371696,1491.84
0.31622776601683794,0.02311081857533291,2354.34
0.3981071705534972,0.021158027049242627,3667.4199999999996
0.5011872336272722,0.017179321020443367,5618.95
0.6309573444801932,0.01612646632792577,8430.93
0.7943282347242815,0.014964022986242045,12339.51
1.0,0.013945692323640641,17603.61
