alpha,rho,n_params
1e-06,-0.047882416774466474,0.01
1.2589254117941661e-06,-0.047882416774466474,0.01
1.584893192461111e-06,-0.047882416774466474,0.01
1.9952623149688787e-06,-0.04641263381535275,0.030000000000000006
2.511886431509577e-06,-0.04641263381535275,0.030000000000000006
3.162277660168379e-06,-0.04641263381535275,0.030000000000000006
3.981071705534969e-06,-0.04641263381535275,0.030000000000000006
5.011872336272715e-06,-0.04641263381535275,0.030000000000000006
6.30957344480193e-06,-0.044600263250469264,0.06
7.943282347242805e-06,-0.04371711337204689,0.08
1e-05,-0.04484393974351951,0.11000000000000001
1.2589254117941661e-05,-0.04622090980509109,0.15
1.5848931924611107e-05,-0.04588013521045988,0.18
1.9952623149688786e-05,-0.04098896773842068,0.22000000000000003
2.511886431509577e-05,-0.0406735864602091,0.27
3.1622776601683795e-05,-0.040058212697952136,0.35
3.9810717055349695e-05,-0.03795305987529292,0.45999999999999996
5.011872336272725e-05,-0.03539644561631457,0.6
6.309573444801929e-05,-0.029022062177759926,0.8200000000000001
7.943282347242806e-05,-0.03002784653865883,1.1300000000000001
0.0001,-0.029092955535782155,1.42
0.0001258925411794166,-0.022156048312267685,1.98
0.00015848931924611126,-0.016085658825850134,2.68
0.00019952623149688788,-0.013677239278970188,3.4899999999999998
0.00025118864315095795,-0.009374581273122868,4.65
0.00031622776601683794,-0.0033018852451172894,5.92
0.0003981071705534969,0.00778651288208654,7.660000000000001
0.000501187233627272,0.013315607276813395,10.05
0.000630957344480193,0.012358987908396091,13.180000000000001
0.0007943282347242813,0.009591615256755885,17.14
0.001,0.00893259263470843,22.25
0.0012589254117941662,0.011010647400643028,29.29
0.0015848931924611126,0.013003150783872213,38.260000000000005
0.001995262314968879,0.016507604973550645,50.29
0.0025118864315095794,0.012583094897757057,65.82000000000001
0.0031622776601683794,0.010293212089394285,86.41
0.003981071705534969,0.013562142730432053,112.38
0.005,0.011694308674323117,147.77
0.005011872336272719,0.011543568614844422,148.28
0.00630957344480193,0.009612675529623079,194.45999999999998
0.007943282347242814,0.006958903339098955,252.79000000000002
0.01,0.0014875707958335736,328.26
0.012589254117941668,0.0014893021757192116,427.48
0.015848931924611134,-0.0009914328161914465,551.2
0.01995262314968879,-0.004397441620497178,712.5600000000001
0.025118864315095794,-0.0062711001302090145,913.8700000000001
0.03162277660168379,-0.008179365327248512,1168.51
0.03981071705534971,-0.00905338324004661,1485.58
0.05,-0.009960201546559268,1867.65
0.05011872336272722,-0.010079076540320364,1871.9900000000002
0.0630957344480193,-0.010909657401081059,2347.94
0.07943282347242814,-0.01383782754014191,2908.8900000000003
0.1,-0.01598656489318374,3582.47
0.12589254117941673,-0.018298110504553784,4373.71
0.15848931924611134,-0.02049197028667145,5287.2300000000005
0.19952623149688792,-0.022576731861949972,6334.4800000000005
0.25118864315095796,-0.024742207160025686,7523.25
0.31622776601683794,-0.027143490325422116,8848.34
0.3981071705534972,-0.03022250270948478,10304.72
0.5011872336272722,-0.03401307186040986,11904.18
0.6309573444801932,-0.038144212817238766,13630.89
0.7943282347242815,-0.04210597110883703,15497.59
1.0,-0.045949606635049205,17592.09
