alpha,rho,n_params
1e-06,-0.05074370445398625,0.0
1.2589254117941661e-06,-0.05074370445398625,0.0
1.584893192461111e-06,-0.05074370445398625,0.0
1.9952623149688787e-06,-0.05074370445398625,0.0
2.511886431509577e-06,-0.05074370445398625,0.0
3.162277660168379e-06,-0.05074370445398625,0.0
3.981071705534969e-06,-0.05074370445398625,0.0
5.011872336272715e-06,-0.05074370445398625,0.0
6.30957344480193e-06,-0.05074370445398625,0.0
7.943282347242805e-06,-0.05074370445398625,0.0
1e-05,-0.05074370445398625,0.0
1.2589254117941661e-05,-0.05074370445398625,0.0
1.5848931924611107e-05,-0.05074370445398625,0.0
1.9952623149688786e-05,-0.05074370445398625,0.0
2.511886431509577e-05,-0.05074370445398625,0.0
3.1622776601683795e-05,-0.050116672365488876,0.01
3.9810717055349695e-05,-0.050116672365488876,0.01
5.011872336272725e-05,-0.050116672365488876,0.01
6.309573444801929e-05,-0.050116672365488876,0.01
7.943282347242806e-05,-0.050116672365488876,0.01
0.0001,-0.049568427989797395,0.030000000000000006
0.0001258925411794166,-0.04832175372909169,0.04
0.00015848931924611126,-0.046911653761324425,0.08
0.00019952623149688788,-0.046911653761324425,0.08
0.00025118864315095795,-0.04979743434700773,0.12000000000000002
0.00031622776601683794,-0.04780279290515276,0.18
0.0003981071705534969,-0.049187709351190885,0.26
0.000501187233627272,-0.048975180796766875,0.35
0.000630957344480193,-0.044712044372325045,0.47000000000000003
0.0007943282347242813,-0.04155940611104702,0.74
0.001,-0.044803389215966015,1.06
0.0012589254117941662,-0.040254056392483695,1.55
0.0015848931924611126,-0.03840891262182279,2.23
0.001995262314968879,-0.039359830205098825,3.1100000000000003
0.0025118864315095794,-0.03642167315553231,4.470000000000001
0.0031622776601683794,-0.037730332616780715,6.640000000000001
0.003981071705534969,-0.03699365301419279,9.9
0.005,-0.041819886954296795,14.41
0.005011872336272719,-0.04218227564643943,14.45
0.00630957344480193,-0.03572396282138711,20.380000000000003
0.007943282347242814,-0.028192565965090975,29.330000000000002
0.01,-0.028461896200528542,42.33
0.012589254117941668,-0.03250823787973952,60.4
0.015848931924611134,-0.034058504236503404,86.36
0.01995262314968879,-0.03572352875844287,122.35999999999999
0.025118864315095794,-0.03884647956778745,172.77
0.03162277660168379,-0.04211727883785661,243.14000000000001
0.03981071705534971,-0.044577646570714974,342.71
0.05,-0.04778395001788673,478.93999999999994
0.05011872336272722,-0.04790934599977,480.53999999999996
0.0630957344480193,-0.049512712662739204,674.35
0.07943282347242814,-0.05170272794738394,936.22
0.1,-0.05281432730919654,1284.54
0.12589254117941673,-0.0533838859304077,1756.9900000000002
0.15848931924611134,-0.05355407353333728,2380.6099999999997
0.19952623149688792,-0.053013360996237914,3184.58
0.25118864315095796,-0.05277985423391611,4208.2
0.31622776601683794,-0.051846751160192106,5506.15
0.3981071705534972,-0.05037640878060573,7127.15
0.5011872336272722,-0.0484903419794491,9134.97
0.6309573444801932,-0.047829982520468106,11636.57
0.7943282347242815,-0.04720144300433719,14753.5
1.0,-0.046804895942083875,18650.02
