alpha,rho,n_params
1e-06,-0.06115419204062124,0.0
1.2589254117941661e-06,-0.06115419204062124,0.0
1.584893192461111e-06,-0.06115419204062124,0.0
1.9952623149688787e-06,-0.06115419204062124,0.0
2.511886431509577e-06,-0.06115419204062124,0.0
3.162277660168379e-06,-0.06115419204062124,0.0
3.981071705534969e-06,-0.05871354237960191,0.01
5.011872336272715e-06,-0.05871354237960191,0.01
6.30957344480193e-06,-0.05871354237960191,0.01
7.943282347242805e-06,-0.05871354237960191,0.01
1e-05,-0.05871354237960191,0.01
1.2589254117941661e-05,-0.05871354237960191,0.01
1.5848931924611107e-05,-0.05740134872156767,0.02
1.9952623149688786e-05,-0.05740134872156767,0.02
2.511886431509577e-05,-0.05740134872156767,0.02
3.1622776601683795e-05,-0.0566351202136797,0.030000000000000006
3.9810717055349695e-05,-0.05681011325834963,0.05
5.011872336272725e-05,-0.055667222560521534,0.07
6.309573444801929e-05,-0.0563168948174287,0.09
7.943282347242806e-05,-0.05536109192382051,0.10999999999999999
0.0001,-0.05566868048749498,0.14
0.0001258925411794166,-0.05566868048749498,0.14
0.00015848931924611126,-0.051520294392475255,0.18
0.00019952623149688788,-0.049571261263712814,0.2
0.00025118864315095795,-0.04865404367535281,0.27
0.00031622776601683794,-0.04594537901593243,0.35
0.0003981071705534969,-0.04124657310550993,0.4600000000000001
0.000501187233627272,-0.04384573624998417,0.5700000000000001
0.000630957344480193,-0.044412429682603845,0.6599999999999999
0.0007943282347242813,-0.04162871176926102,0.8800000000000001
0.001,-0.03983100028492196,1.1199999999999999
0.0012589254117941662,-0.033593314842221354,1.5299999999999998
0.0015848931924611126,-0.03255277395399159,1.97
0.001995262314968879,-0.03198736173101336,2.43
0.0025118864315095794,-0.03428564596054326,3.12
0.0031622776601683794,-0.03082989786638519,4.37
0.003981071705534969,-0.03032655561684102,5.61
0.005,-0.02766784090509201,7.390000000000001
0.005011872336272719,-0.02820304927443304,7.42
0.00630957344480193,-0.01900232682117804,9.86
0.007943282347242814,-0.014137307585211024,13.4
0.01,-0.016867858453162625,17.86
0.012589254117941668,-0.016934821797783193,24.45
0.015848931924611134,-0.02297065381499866,33.63
0.01995262314968879,-0.021219032187886983,46.78
0.025118864315095794,-0.024625079532233675,66.1
0.03162277660168379,-0.030160338559245374,93.69
0.03981071705534971,-0.025948227054444384,133.10999999999999
0.05,-0.023266910746785788,191.02
0.05011872336272722,-0.0230519681119162,191.8
0.0630957344480193,-0.013086858983398073,278.90999999999997
0.07943282347242814,-0.009216153785904669,403.64
0.1,-0.005969916617170916,586.72
0.12589254117941673,-0.00701170108976752,850.43
0.15848931924611134,-0.004893838104191215,1231.42
0.19952623149688792,-0.005070506703832862,1780.2
0.25118864315095796,-0.005834717177925071,2559.58
0.31622776601683794,-0.006189935991329701,3651.95
0.3981071705534972,-0.005941388532035252,5161.0
0.5011872336272722,-0.006232872145164839,7224.25
0.6309573444801932,-0.005876932109994941,9983.43
0.7943282347242815,-0.006287146719843246,13576.73
1.0,-0.005834439491178838,18143.89
