alpha,rho,n_params
1e-06,-0.05389661594878351,0.0
1.2589254117941661e-06,-0.05389661594878351,0.0
1.584893192461111e-06,-0.05389661594878351,0.0
1.9952623149688787e-06,-0.05389661594878351,0.0
2.511886431509577e-06,-0.05389661594878351,0.0
3.162277660168379e-06,-0.05389661594878351,0.0
3.981071705534969e-06,-0.05389661594878351,0.0
5.011872336272715e-06,-0.05389661594878351,0.0
6.30957344480193e-06,-0.05389661594878351,0.0
7.943282347242805e-06,-0.05389661594878351,0.0
1e-05,-0.05389661594878351,0.0
1.2589254117941661e-05,-0.05389661594878351,0.0
1.5848931924611107e-05,-0.04913467733049743,0.02
1.9952623149688786e-05,-0.04913467733049743,0.02
2.511886431509577e-05,-0.04913467733049743,0.02
3.1622776601683795e-05,-0.04913467733049743,0.02
3.9810717055349695e-05,-0.04820545751364818,0.030000000000000006
5.011872336272725e-05,-0.04665519614100692,0.04
6.309573444801929e-05,-0.04579360618501088,0.06000000000000001
7.943282347242806e-05,-0.04234533560544234,0.08
0.0001,-0.038424852361021763,0.11000000000000001
0.0001258925411794166,-0.03381295973042147,0.14
0.00015848931924611126,-0.027745645480072002,0.19
0.00019952623149688788,-0.016240873309477506,0.29000000000000004
0.00025118864315095795,-0.010710259055335252,0.36
0.00031622776601683794,-0.005910200398168663,0.44000000000000006
0.0003981071705534969,0.009573073265554524,0.6900000000000001
0.000501187233627272,0.02219354995049287,0.86
0.000630957344480193,0.03972557979867866,1.1800000000000002
0.0007943282347242813,0.05110089481052081,1.49
0.001,0.06042129042573145,1.89
0.0012589254117941662,0.0725276076183666,2.2600000000000002
0.0015848931924611126,0.07807833526945912,2.7
0.001995262314968879,0.08816007804753459,3.4300000000000006
0.0025118864315095794,0.09702713600383946,4.33
0.0031622776601683794,0.10581132947490193,5.41
0.003981071705534969,0.110010496545071,6.640000000000001
0.005,0.1198897233809391,8.629999999999999
0.005011872336272719,0.12055706962695904,8.66
0.00630957344480193,0.12854608622544764,10.99
0.007943282347242814,0.13216335228170883,14.4
0.01,0.13292117604696088,18.740000000000002
0.012589254117941668,0.13350552132808016,24.240000000000002
0.015848931924611134,0.1345625385867598,32.61
0.01995262314968879,0.13379385025144028,43.93
0.025118864315095794,0.13300436136731758,60.21
0.03162277660168379,0.12997617081456556,84.16
0.03981071705534971,0.1255180060978514,118.16
0.05,0.12228538152248387,167.49
0.05011872336272722,0.1224226283278528,168.04000000000002
0.0630957344480193,0.11843598617492919,243.43
0.07943282347242814,0.11543953636440833,357.79
0.1,0.11224281971704972,529.87
0.12589254117941673,0.10872236209687527,795.4
0.15848931924611134,0.1038391794207455,1206.23
0.19952623149688792,0.09794124336440545,1840.7
0.25118864315095796,0.0918789578051272,2834.94
0.31622776601683794,0.0857674905368874,4395.55
0.3981071705534972,0.07965188524113076,6817.55
0.5011872336272722,0.07547802636024321,10560.39
0.6309573444801932,0.07121413598745649,16214.289999999999
0.7943282347242815,0.06892503304208855,24454.77
1.0,0.06811600247962571,35778.0
