alpha,rho,n_params
1e-06,-0.05389661594878351,0.0
1.2589254117941661e-06,-0.05389661594878351,0.0
1.584893192461111e-06,-0.05389661594878351,0.0
1.9952623149688787e-06,-0.05389661594878351,0.0
2.511886431509577e-06,-0.05389661594878351,0.0
3.162277660168379e-06,-0.05389661594878351,0.0
3.981071705534969e-06,-0.05389661594878351,0.0
5.011872336272715e-06,-0.05389661594878351,0.0
6.30957344480193e-06,-0.05389661594878351,0.0
7.943282347242805e-06,-0.05389661594878351,0.0
1e-05,-0.05389661594878351,0.0
1.2589254117941661e-05,-0.05389661594878351,0.0
1.5848931924611107e-05,-0.05389661594878351,0.0
1.9952623149688786e-05,-0.05389661594878351,0.0
2.511886431509577e-05,-0.05389661594878351,0.0
3.1622776601683795e-05,-0.05389661594878351,0.0
3.9810717055349695e-05,-0.05389661594878351,0.0
5.011872336272725e-05,-0.05389661594878351,0.0
6.309573444801929e-05,-0.05389661594878351,0.0
7.943282347242806e-05,-0.05389661594878351,0.0
0.0001,-0.05389661594878351,0.0
0.0001258925411794166,-0.05389661594878351,0.0
0.00015848931924611126,-0.05389661594878351,0.0
0.00019952623149688788,-0.05389661594878351,0.0
0.00025118864315095795,-0.05389661594878351,0.0
0.00031622776601683794,-0.05389661594878351,0.0
0.0003981071705534969,-0.050255947284028324,0.02
0.000501187233627272,-0.05132175964676459,0.030000000000000006
0.000630957344480193,-0.04410413971731115,0.07
0.0007943282347242813,-0.04259046394411023,0.08
0.001,-0.041002771519291506,0.1
0.0012589254117941662,-0.039372467625847625,0.12000000000000002
0.0015848931924611126,-0.038620613784365446,0.14
0.001995262314968879,-0.02971013231289754,0.21000000000000002
0.0025118864315095794,-0.025098291607475464,0.31
0.0031622776601683794,-0.020166530079375238,0.43
0.003981071705534969,-0.010264806069527701,0.5599999999999999
0.005,0.00475663096137294,0.93
0.005011872336272719,0.00475663096137294,0.93
0.00630957344480193,0.002022913787657067,1.29
0.007943282347242814,0.009732174651333043,1.97
0.01,0.02219316228688997,2.9
0.012589254117941668,0.024469276568205196,4.25
0.015848931924611134,0.028609113796925156,6.5
0.01995262314968879,0.03275924706365925,9.76
0.025118864315095794,0.029386888355648805,15.52
0.03162277660168379,0.033268574945239424,24.19
0.03981071705534971,0.03525187591682261,37.68
0.05,0.039065795130037086,58.1
0.05011872336272722,0.03879968687078185,58.32000000000001
0.0630957344480193,0.043273170020950345,91.42
0.07943282347242814,0.05126210986737153,142.51
0.1,0.05365937792115384,224.32
0.12589254117941673,0.05859243627285467,354.40999999999997
0.15848931924611134,0.05900340013863229,559.15
0.19952623149688792,0.05732637574285972,884.8799999999999
0.25118864315095796,0.0533130964839522,1405.6100000000001
0.31622776601683794,0.050802641328638765,2244.7
0.3981071705534972,0.04842909812898837,3560.81
0.5011872336272722,0.04893266976010443,5602.96
0.6309573444801932,0.05006361993872458,8659.73
0.7943282347242815,0.05382211638314764,13010.18
1.0,0.057667714384543566,18783.95
