alpha,rho,n_params
1e-06,-0.044936351349890116,0.0
1.2589254117941661e-06,-0.044936351349890116,0.0
1.584893192461111e-06,-0.044936351349890116,0.0
1.9952623149688787e-06,-0.044936351349890116,0.0
2.511886431509577e-06,-0.044936351349890116,0.0
3.162277660168379e-06,-0.044936351349890116,0.0
3.981071705534969e-06,-0.04291646312301149,0.01
5.011872336272715e-06,-0.04291646312301149,0.01
6.30957344480193e-06,-0.04291646312301149,0.01
7.943282347242805e-06,-0.04291646312301149,0.01
1e-05,-0.042336565981025066,0.02
1.2589254117941661e-05,-0.042336565981025066,0.02
1.5848931924611107e-05,-0.04167996702773342,0.03
1.9952623149688786e-05,-0.04007872028768057,0.04
2.511886431509577e-05,-0.037245429272805566,0.08
3.1622776601683795e-05,-0.03007593313041858,0.13
3.9810717055349695e-05,-0.027044370437658543,0.16999999999999998
5.011872336272725e-05,-0.0246936196107664,0.2
6.309573444801929e-05,-0.018918019733135658,0.26
7.943282347242806e-05,-0.014857722791508165,0.3
0.0001,-0.0012390164952653276,0.45
0.0001258925411794166,0.006019191595239566,0.54
0.00015848931924611126,0.010147639994368634,0.7
0.00019952623149688788,0.026966392899327913,1.02
0.00025118864315095795,0.0403065502666622,1.3900000000000001
0.00031622776601683794,0.0499953167839081,1.67
0.0003981071705534969,0.05994424652475574,2.2199999999999998
0.000501187233627272,0.0653343872354651,2.8600000000000003
0.000630957344480193,0.06983508652278805,3.71
0.0007943282347242813,0.07130648558306771,4.79
0.001,0.07651212397904636,6.11
0.0012589254117941662,0.07896825086838166,7.68
0.0015848931924611126,0.08404002984988539,10.129999999999999
0.001995262314968879,0.08365933196915602,13.190000000000001
0.0025118864315095794,0.08680502751293791,17.080000000000002
0.0031622776601683794,0.0900497105082031,22.759999999999998
0.003981071705534969,0.08854129155340967,30.139999999999997
0.005,0.0876574031905704,40.11
0.005011872336272719,0.08759193390973144,40.269999999999996
0.00630957344480193,0.08561680088491165,53.9
0.007943282347242814,0.08205922472116331,74.47
0.01,0.08013102806779013,101.64
0.012589254117941668,0.07471236684680149,140.39000000000001
0.015848931924611134,0.07083439786390255,193.93
0.01995262314968879,0.06649396015763583,265.81
0.025118864315095794,0.06193302070343552,364.08000000000004
0.03162277660168379,0.056021887663582834,492.82
0.03981071705534971,0.05109028084868143,662.3399999999999
0.05,0.045251775098318577,878.3299999999999
0.05011872336272722,0.045265390234683275,880.79
0.0630957344480193,0.039786290388149625,1159.69
0.07943282347242814,0.03458957910284264,1511.01
0.1,0.030607678125674737,1950.19
0.12589254117941673,0.026439396733177828,2491.68
0.15848931924611134,0.022447364432208773,3152.8900000000003
0.19952623149688792,0.019061239021265605,3948.38
0.25118864315095796,0.016854704089772965,4903.6
0.31622776601683794,0.013699774289884965,6055.66
0.3981071705534972,0.011174458902358866,7472.7
0.5011872336272722,0.008853868889644723,9224.61
0.6309573444801932,0.0066786955720671394,11403.14
0.7943282347242815,0.005385649429333237,14110.429999999998
1.0,0.003448737066914716,17504.04
