alpha,rho,n_params
1e-06,-0.006943000377569897,0.36
1.2589254117941661e-06,-0.0065156365979336245,0.39
1.584893192461111e-06,-0.0024047748684254467,0.4600000000000001
1.9952623149688787e-06,0.0016498430006591587,0.54
2.511886431509577e-06,0.013795605906086996,0.64
3.162277660168379e-06,0.020066194579278312,0.79
3.981071705534969e-06,0.024376441420899325,0.8699999999999999
5.011872336272715e-06,0.029727899995702904,1.0799999999999998
6.30957344480193e-06,0.03311925281469939,1.3
7.943282347242805e-06,0.038078791382291546,1.55
1e-05,0.05254384191013526,1.92
1.2589254117941661e-05,0.05721988956439496,2.38
1.5848931924611107e-05,0.06622301887327513,2.92
1.9952623149688786e-05,0.06710142156686663,3.5200000000000005
2.511886431509577e-05,0.0724266533984404,4.15
3.1622776601683795e-05,0.07344994642045857,4.970000000000001
3.9810717055349695e-05,0.07677734140049415,6.15
5.011872336272725e-05,0.07941068799804626,7.68
6.309573444801929e-05,0.08539925126544855,9.379999999999999
7.943282347242806e-05,0.0895598394038069,11.98
0.0001,0.09067955685737107,15.030000000000001
0.0001258925411794166,0.09221454524911875,18.39
0.00015848931924611126,0.09502956983044467,23.19
0.00019952623149688788,0.09899688851913221,28.6
0.00025118864315095795,0.10011035386176441,35.55
0.00031622776601683794,0.10546750320472013,44.489999999999995
0.0003981071705534969,0.10749269117329116,54.989999999999995
0.000501187233627272,0.11066982041878333,67.91
0.000630957344480193,0.11343628804664507,83.94
0.0007943282347242813,0.11809456392098312,102.2
0.001,0.12048852501185107,124.78
0.0012589254117941662,0.12150763017837185,151.81
0.0015848931924611126,0.12142380485184454,184.25
0.001995262314968879,0.12204473064909407,223.61999999999998
0.0025118864315095794,0.12377634012883498,269.52
0.0031622776601683794,0.12405328558294806,323.44
0.003981071705534969,0.12490958840187313,387.76
0.005,0.12383734329150478,464.53999999999996
0.005011872336272719,0.12382357904709462,465.4
0.00630957344480193,0.12239663399072001,555.35
0.007943282347242814,0.12105630116786832,665.6200000000001
0.01,0.12010111247258357,790.22
0.012589254117941668,0.11782458828004405,938.3299999999999
0.015848931924611134,0.11526686147605233,1110.54
0.01995262314968879,0.113822837080407,1316.31
0.025118864315095794,0.1108172497921501,1552.76
0.03162277660168379,0.10782217509272649,1829.14
0.03981071705534971,0.10453101658162219,2143.98
0.05,0.10098596787146745,2502.27
0.05011872336272722,0.10102191749752834,2506.3
0.0630957344480193,0.09798987415698875,2923.87
0.07943282347242814,0.09354562974711929,3402.0800000000004
0.1,0.08966413017516531,3949.6400000000003
0.12589254117941673,0.0856211525452983,4568.25
0.15848931924611134,0.08217511261752769,5271.1
0.19952623149688792,0.07905230466910444,6071.33
0.25118864315095796,0.07589703422372664,6988.06
0.31622776601683794,0.0733972808870743,8042.83
0.3981071705534972,0.07052191245347042,9262.15
0.5011872336272722,0.06838893364050436,10702.130000000001
0.6309573444801932,0.06632661962453625,12411.47
0.7943282347242815,0.06475460138180066,14492.560000000001
1.0,0.06186542625220896,17071.22
