alpha,rho,n_params
1e-06,-0.039779186003046536,0.09
1.2589254117941661e-06,-0.038988335571259324,0.11000000000000001
1.584893192461111e-06,-0.03272783506725941,0.2
1.9952623149688787e-06,-0.02717252669839511,0.29000000000000004
2.511886431509577e-06,-0.01736103698806689,0.42000000000000004
3.162277660168379e-06,-0.016518189453372453,0.53
3.981071705534969e-06,0.0023359733474780896,0.78
5.011872336272715e-06,0.005585561583016505,0.99
6.30957344480193e-06,0.011289644189666112,1.35
7.943282347242805e-06,0.01820350938275018,1.78
1e-05,0.028670053261834284,2.4
1.2589254117941661e-05,0.034115702375100025,2.98
1.5848931924611107e-05,0.03772683768229538,3.9200000000000004
1.9952623149688786e-05,0.046210707496969136,5.05
2.511886431509577e-05,0.051427345648976774,6.39
3.1622776601683795e-05,0.05771863361265286,7.840000000000001
3.9810717055349695e-05,0.06756542742916175,9.64
5.011872336272725e-05,0.0797694657554193,12.040000000000001
6.309573444801929e-05,0.08919033057191342,14.59
7.943282347242806e-05,0.0973911505844492,17.98
0.0001,0.10031668682453776,22.15
0.0001258925411794166,0.10669034824517318,26.76
0.00015848931924611126,0.11246044034069555,32.45
0.00019952623149688788,0.11720955555447718,39.12
0.00025118864315095795,0.12100998156435885,47.65
0.00031622776601683794,0.12413879118907671,57.32000000000001
0.0003981071705534969,0.1271504534489589,68.78
0.000501187233627272,0.132557136835175,83.16
0.000630957344480193,0.13462806310770126,100.42999999999999
0.0007943282347242813,0.1323698881665186,121.05
0.001,0.13175768290033274,145.94
0.0012589254117941662,0.13005947113908362,176.39000000000001
0.0015848931924611126,0.12915321563749035,212.92
0.001995262314968879,0.12673211735018744,256.18
0.0025118864315095794,0.12570300345820368,308.96
0.0031622776601683794,0.12597004751185645,373.9
0.003981071705534969,0.12285028388508985,452.26000000000005
0.005,0.11983668694423495,542.88
0.005011872336272719,0.11998176633087795,543.79
0.00630957344480193,0.11820880497146966,652.02
0.007943282347242814,0.11705589444616012,779.6600000000001
0.01,0.1135893801082662,928.89
0.012589254117941668,0.11227034323640603,1104.47
0.015848931924611134,0.11026158796484868,1308.83
0.01995262314968879,0.10674550476197633,1543.99
0.025118864315095794,0.1040443434009098,1815.6799999999998
0.03162277660168379,0.10085008711736795,2132.0299999999997
0.03981071705534971,0.09832516942428479,2496.7200000000003
0.05,0.09516640103729188,2909.13
0.05011872336272722,0.09509095137376518,2913.54
0.0630957344480193,0.09172364297564496,3394.5099999999998
0.07943282347242814,0.08986349110892589,3941.46
0.1,0.08781125561812128,4560.07
0.12589254117941673,0.08525253476360159,5265.2699999999995
0.15848931924611134,0.08207938951544938,6061.8099999999995
0.19952623149688792,0.07930163943290586,6961.839999999999
0.25118864315095796,0.07703693113039126,7995.860000000001
0.31622776601683794,0.0752471160486742,9167.92
0.3981071705534972,0.07337751512731336,10518.28
0.5011872336272722,0.07199293985184466,12080.29
0.6309573444801932,0.07081558411559305,13918.41
0.7943282347242815,0.07104901341856729,16094.9
1.0,0.0711088159904957,18706.78
