alpha,rho,n_params
1e-06,-0.02791004900438272,0.09
1.2589254117941661e-06,-0.026945632196487285,0.1
1.584893192461111e-06,-0.026945632196487285,0.1
1.9952623149688787e-06,-0.023714927360507974,0.11000000000000001
2.511886431509577e-06,-0.014488313143624473,0.16
3.162277660168379e-06,-0.007522478161439564,0.2
3.981071705534969e-06,-0.0031790405664640768,0.26
5.011872336272715e-06,0.0003881545463043236,0.3
6.30957344480193e-06,0.0014857866420301936,0.37
7.943282347242805e-06,0.01115770245649157,0.5
1e-05,0.02228673303830725,0.6599999999999999
1.2589254117941661e-05,0.023944218867661824,0.72
1.5848931924611107e-05,0.029048522622050425,0.85
1.9952623149688786e-05,0.03077781696990789,1.03
2.511886431509577e-05,0.04346042926715478,1.29
3.1622776601683795e-05,0.04974358433325363,1.5699999999999998
3.9810717055349695e-05,0.057836901206233235,2.13
5.011872336272725e-05,0.06305641516753134,2.67
6.309573444801929e-05,0.07328128402107255,3.47
7.943282347242806e-05,0.07649921831397241,4.279999999999999
0.0001,0.08188400723953525,5.29
0.0001258925411794166,0.08908175315146095,6.609999999999999
0.00015848931924611126,0.09851883751041521,8.41
0.00019952623149688788,0.10680397209698797,10.77
0.00025118864315095795,0.11397715550379106,13.66
0.00031622776601683794,0.11800337051353094,16.93
0.0003981071705534969,0.12111709958797709,21.630000000000003
0.000501187233627272,0.12544778644470106,27.51
0.000630957344480193,0.13019622529712213,34.480000000000004
0.0007943282347242813,0.13586868620414932,43.269999999999996
0.001,0.14025084752781725,54.32000000000001
0.0012589254117941662,0.14247860902932694,67.74
0.0015848931924611126,0.14401152611649332,84.22999999999999
0.001995262314968879,0.1484549224730633,104.95
0.0025118864315095794,0.15184330378847313,129.48
0.0031622776601683794,0.15391178077684609,161.42000000000002
0.003981071705534969,0.15547946526787798,199.87
0.005,0.15829195931816015,245.61999999999998
0.005011872336272719,0.1582015398903052,246.29000000000002
0.00630957344480193,0.15695431654643924,303.87
0.007943282347242814,0.1559132560170961,375.16999999999996
0.01,0.15550474103469203,462.66
0.012589254117941668,0.15477899552737032,570.58
0.015848931924611134,0.1529334321471934,702.35
0.01995262314968879,0.14957067585715272,862.21
0.025118864315095794,0.14625127159000711,1054.71
0.03162277660168379,0.1441127899783055,1289.0
0.03981071705534971,0.13987682081903058,1572.3700000000001
0.05,0.13677523731526448,1910.17
0.05011872336272722,0.13688937199226994,1914.1599999999999
0.0630957344480193,0.13298847120455787,2320.9900000000002
0.07943282347242814,0.12799049700084444,2806.68
0.1,0.12376707499391575,3381.7
0.12589254117941673,0.11937919340318563,4050.6
0.15848931924611134,0.11401948725480829,4829.49
0.19952623149688792,0.10994557121230768,5732.96
0.25118864315095796,0.10469896421824643,6766.360000000001
0.31622776601683794,0.09910641625551816,7944.33
0.3981071705534972,0.09330438006454858,9290.07
0.5011872336272722,0.08797079404262695,10829.34
0.6309573444801932,0.08273578201560822,12608.23
0.7943282347242815,0.0780599382657299,14705.51
1.0,0.07612940933136407,17256.15
