alpha,rho,n_params
1e-06,0.0022542582931271335,0.64
1.2589254117941661e-06,0.006234015298250866,0.76
1.584893192461111e-06,0.011102789743688243,0.9800000000000001
1.9952623149688787e-06,0.0163099998767676,1.23
2.511886431509577e-06,0.017821810552528128,1.4
3.162277660168379e-06,0.024132950294917417,1.7399999999999998
3.981071705534969e-06,0.028474392489462114,2.05
5.011872336272715e-06,0.03660300279274125,2.4699999999999998
6.30957344480193e-06,0.0408708897834665,2.9899999999999998
7.943282347242805e-06,0.04973007228524355,3.4799999999999995
1e-05,0.05520458968977913,4.34
1.2589254117941661e-05,0.06318705165743396,5.33
1.5848931924611107e-05,0.06720313078705545,6.5
1.9952623149688786e-05,0.07164314418179753,8.01
2.511886431509577e-05,0.08107226968433622,10.03
3.1622776601683795e-05,0.0902601059123448,12.28
3.9810717055349695e-05,0.09509925495315559,15.13
5.011872336272725e-05,0.09454462498629658,18.31
6.309573444801929e-05,0.09442232427363151,22.15
7.943282347242806e-05,0.09177261155675448,27.43
0.0001,0.09426236772115429,33.44
0.0001258925411794166,0.09537308275529362,40.64
0.00015848931924611126,0.09025276251662853,49.62
0.00019952623149688788,0.08925831406800983,60.14
0.00025118864315095795,0.08623931509686703,73.97
0.00031622776601683794,0.0878251772110646,90.19
0.0003981071705534969,0.08924341527410151,109.10999999999999
0.000501187233627272,0.08916524851119075,132.99
0.000630957344480193,0.08873970504166741,160.65
0.0007943282347242813,0.08777200518609125,193.74
0.001,0.08676280601305493,232.58
0.0012589254117941662,0.08587387938224343,277.27
0.0015848931924611126,0.08608532021543278,330.53000000000003
0.001995262314968879,0.08611610962095813,391.91999999999996
0.0025118864315095794,0.08512860990444117,466.18999999999994
0.0031622776601683794,0.08388709768305366,551.24
0.003981071705534969,0.08168053256573828,650.64
0.005,0.0804420301497093,765.42
0.005011872336272719,0.0804255219022175,766.46
0.00630957344480193,0.07880195766547315,901.96
0.007943282347242814,0.07778770051780323,1055.6100000000001
0.01,0.075720123436648,1234.01
0.012589254117941668,0.07404163648164847,1440.1799999999998
0.015848931924611134,0.0724301725012791,1675.39
0.01995262314968879,0.07016129888447202,1942.4299999999998
0.025118864315095794,0.06796641215088198,2246.67
0.03162277660168379,0.06663220588776776,2594.25
0.03981071705534971,0.06605093418737898,2981.85
0.05,0.06533246549636086,3413.19
0.05011872336272722,0.06537893374263948,3417.6800000000003
0.0630957344480193,0.06353024263927015,3912.2
0.07943282347242814,0.06098516515355036,4469.82
0.1,0.05924157916549161,5091.21
0.12589254117941673,0.05733455150592922,5788.7
0.15848931924611134,0.054852570739288876,6559.35
0.19952623149688792,0.051978256092367905,7424.8
0.25118864315095796,0.04965813388861247,8393.15
0.31622776601683794,0.047199458196529515,9489.64
0.3981071705534972,0.04384931513050583,10722.51
0.5011872336272722,0.04097941814571373,12128.53
0.6309573444801932,0.039722036822300445,13755.970000000001
0.7943282347242815,0.03941601052178151,15653.279999999999
1.0,0.039951682233128144,17925.93
