alpha,rho,n_params
1e-06,-0.012765852920676746,0.45999999999999996
1.2589254117941661e-06,-0.007031315514527891,0.5599999999999999
1.584893192461111e-06,-0.0016683908211187928,0.6900000000000001
1.9952623149688787e-06,0.0038986213453737427,0.9099999999999999
2.511886431509577e-06,0.004064191873273421,1.03
3.162277660168379e-06,0.010364582827921433,1.24
3.981071705534969e-06,0.012599938688858888,1.6
5.011872336272715e-06,0.018513511727045927,1.9899999999999998
6.30957344480193e-06,0.0236327941060864,2.43
7.943282347242805e-06,0.02666551903299073,2.83
1e-05,0.03194613916706248,3.34
1.2589254117941661e-05,0.033970624895227314,4.01
1.5848931924611107e-05,0.03792800147615928,4.87
1.9952623149688786e-05,0.043044087539997576,5.96
2.511886431509577e-05,0.048571107608813516,6.9
3.1622776601683795e-05,0.05597958060638712,8.33
3.9810717055349695e-05,0.06116820413086399,9.93
5.011872336272725e-05,0.06397990984927786,11.82
6.309573444801929e-05,0.06704783561542213,14.36
7.943282347242806e-05,0.06944323972828109,17.119999999999997
0.0001,0.07387542329260277,20.69
0.0001258925411794166,0.07616222053594218,25.240000000000002
0.00015848931924611126,0.07838387472017073,30.130000000000003
0.00019952623149688788,0.08055334128209038,36.45
0.00025118864315095795,0.08121371721337386,43.17
0.00031622776601683794,0.0825169695169602,51.12
0.0003981071705534969,0.08381411362507477,60.67999999999999
0.000501187233627272,0.08460214383871228,73.26
0.000630957344480193,0.0850749868215882,88.0
0.0007943282347242813,0.08491604651874018,105.57000000000001
0.001,0.08509293228118774,126.13
0.0012589254117941662,0.08594653115449447,151.27
0.0015848931924611126,0.08569391025597284,182.56
0.001995262314968879,0.08618990851834794,219.01999999999998
0.0025118864315095794,0.08609892105029837,264.8
0.0031622776601683794,0.0869891048163455,317.37
0.003981071705534969,0.08618038612061482,380.73
0.005,0.0856105465426348,456.14
0.005011872336272719,0.08559355407298339,456.98999999999995
0.00630957344480193,0.08556491534525597,551.01
0.007943282347242814,0.08602164477896919,662.92
0.01,0.08551031733291733,797.12
0.012589254117941668,0.08555334630984675,962.0200000000001
0.015848931924611134,0.08564308904413412,1157.53
0.01995262314968879,0.0858275901527402,1392.8
0.025118864315095794,0.08572636574543609,1676.8700000000001
0.03162277660168379,0.08538097744482667,2022.17
0.03981071705534971,0.08506943058167085,2437.46
0.05,0.08490802418212955,2925.2799999999997
0.05011872336272722,0.08488528174609483,2930.4700000000003
0.0630957344480193,0.08449517187630107,3531.09
0.07943282347242814,0.08340116484758808,4251.79
0.1,0.08290384396928963,5129.58
0.12589254117941673,0.08213365297483335,6190.780000000001
0.15848931924611134,0.08112618675289097,7475.389999999999
0.19952623149688792,0.08002249002097138,9044.810000000001
0.25118864315095796,0.0793505693319145,10957.42
0.31622776601683794,0.07836038911643786,13296.289999999999
0.3981071705534972,0.07762646429346708,16146.98
0.5011872336272722,0.07692279626761686,19643.22
0.6309573444801932,0.07661058685994745,23939.71
0.7943282347242815,0.07667257588731888,29221.9
1.0,0.07694109983264964,35778.0
